condition,timepoint_hours,source_file,channel,g1_percent,s_percent,g2_m_percent,rmse,r_squared,weighted_sse,reduced_chi_square,g2_g1_ratio,debris_percent_of_total_signal,model_version,warnings
AI,0,Specimen_001_AI_0_001.fcs,PI-A,60.91285354693372,34.03636668263545,5.050779770430828,116.25323626948052,0.8670117383005982,3940.5084970413095,16.216084349964238,2.0032229439708904,2.26572793676224,djf_polynomial_broadened_v2,
AI,24,Specimen_001_AI_24_002.fcs,PI-A,84.95914467387081,11.763743364388327,3.277111961740863,118.21305603312273,0.9336432977129975,3609.385885852935,14.853439859477099,1.998301972664908,2.169588503175416,djf_polynomial_broadened_v2,Polynomial S phase berada dekat batas non-negatif.
AI,48,Specimen_001_AI_48_003.fcs,PI-A,89.62494548030992,7.2978306494572625,3.077223870232816,181.13356055885208,0.8936090581365673,6713.715307723638,27.62845805647588,2.0005946447894316,14.252921485953983,djf_polynomial_broadened_v2,Reduced chi-square tinggi; residual berbobot masih besar.; Polynomial S phase berada dekat batas non-negatif.
AI,72,Specimen_001_AI_72_004.fcs,PI-A,92.97502070230271,1.418040751227322e-12,7.02497929769587,256.35171638280883,0.6870359102985597,10809.671074564369,44.48424310520316,2.1042088460398625,10.881291358757746,djf_polynomial_broadened_v2,R-squared rendah; interpretasi fase perlu hati-hati.; Reduced chi-square tinggi; residual berbobot masih besar.; Polynomial S phase berada dekat batas non-negatif.
AX,0,Specimen_001_AX_0_005.fcs,PI-A,59.146995619125434,35.84581317298731,5.007191207887255,102.40438553732584,0.8952969201002641,3375.9598358408384,13.892838830620734,2.001756331771476,2.3192065511495636,djf_polynomial_broadened_v2,
AX,24,Specimen_001_AX_24_006.fcs,PI-A,63.69590918998696,31.118711326627285,5.18537948338575,127.38963943665364,0.8535922768533584,4744.834750476119,19.526068932000488,2.006731560911287,2.1603048712443225,djf_polynomial_broadened_v2,Polynomial S phase berada dekat batas non-negatif.
AX,48,Specimen_001_AX_48_007.fcs,PI-A,58.4255605423455,36.41337659150476,5.161062866149739,86.4884785503197,0.9236604293102372,2743.6792710475243,11.290861197726437,2.006925797953337,1.9808721220932084,djf_polynomial_broadened_v2,Polynomial S phase berada dekat batas non-negatif.
AX,72,Specimen_001_AX_72_008.fcs,PI-A,58.440432285859266,37.15462296008829,4.404944754052447,103.78371176798326,0.905473082513846,3364.2058700548896,13.844468601048929,2.027061114560275,2.254279693061321,djf_polynomial_broadened_v2,Polynomial S phase berada dekat batas non-negatif.
