bin,count
346.292236328125,1185
936.1043701171875,184
1525.91650390625,133
2115.728759765625,99
2705.541015625,77
3295.35302734375,58
3885.1650390625,55
4474.9775390625,41
5064.7890625,27
5654.6015625,30
6244.4140625,22
6834.2255859375,24
7424.0380859375,20
8013.85009765625,15
8603.662109375,15
9193.474609375,10
9783.287109375,6
10373.0986328125,16
10962.9111328125,13
11552.72265625,24
12142.53515625,8
12732.34765625,8
13322.16015625,16
13911.9716796875,11
14501.783203125,8
15091.595703125,8
15681.408203125,12
16271.220703125,18
16861.033203125,11
17450.84375,17
18040.65625,22
18630.46875,13
19220.28125,19
19810.09375,10
20399.90625,19
20989.716796875,21
21579.529296875,19
22169.341796875,18
22759.154296875,22
23348.966796875,19
23938.77734375,27
24528.58984375,17
25118.40234375,28
25708.21484375,18
26298.02734375,23
26887.83984375,26
27477.650390625,25
28067.462890625,23
28657.275390625,26
29247.087890625,27
29836.900390625,17
30426.7109375,24
31016.5234375,23
31606.3359375,19
32196.1484375,19
32785.9609375,17
33375.7734375,24
33965.5859375,35
34555.3984375,29
35145.2109375,35
35735.01953125,39
36324.83203125,36
36914.64453125,56
37504.45703125,56
38094.26953125,90
38684.08203125,109
39273.89453125,160
39863.70703125,288
40453.51953125,388
41043.33203125,485
41633.14453125,711
42222.953125,765
42812.765625,882
43402.578125,973
43992.390625,1022
44582.203125,1046
45172.015625,1046
45761.828125,1097
46351.640625,1071
46941.453125,1052
47531.265625,1099
48121.078125,1007
48710.890625,1040
49300.69921875,1035
49890.51171875,1019
50480.32421875,1074
51070.13671875,1107
51659.94921875,1119
52249.76171875,1286
52839.57421875,1279
53429.38671875,1343
54019.19921875,1259
54609.01171875,1137
55198.8203125,1036
55788.6328125,819
56378.4453125,615
56968.2578125,546
57558.0703125,478
58147.8828125,399
58737.6953125,371
59327.5078125,339
59917.3203125,264
60507.1328125,307
61096.9453125,274
61686.7578125,287
62276.56640625,274
62866.37890625,254
63456.19140625,288
64046.00390625,265
64635.81640625,268
65225.62890625,281
65815.4375,248
66405.25,209
66995.0625,261
67584.875,243
68174.6875,249
68764.5,270
69354.3125,242
69944.125,260
70533.9375,244
71123.75,213
71713.5625,264
72303.375,241
72893.1875,259
73483.0,207
74072.8125,255
74662.625,237
75252.4375,216
75842.25,252
76432.0625,226
77021.875,257
77611.6875,261
78201.5,253
78791.3046875,251
79381.1171875,277
79970.9296875,295
80560.7421875,289
81150.5546875,307
81740.3671875,288
82330.1796875,257
82919.9921875,277
83509.8046875,294
84099.6171875,300
84689.4296875,257
85279.2421875,304
85869.0546875,284
86458.8671875,278
87048.6796875,255
87638.4921875,260
88228.3046875,271
88818.1171875,241
89407.9296875,242
89997.7421875,227
90587.5546875,254
91177.3671875,241
91767.171875,231
92356.984375,201
92946.796875,233
93536.609375,202
94126.421875,204
94716.234375,180
95306.046875,184
95895.859375,178
96485.671875,147
97075.484375,206
97665.296875,179
98255.109375,181
98844.921875,177
99434.734375,174
100024.546875,165
100614.359375,163
101204.171875,171
101793.984375,176
102383.796875,171
102973.609375,184
103563.421875,190
104153.234375,126
104743.046875,135
105332.8515625,143
105922.6640625,118
106512.4765625,144
107102.2890625,102
107692.1015625,71
108281.9140625,75
108871.7265625,76
109461.5390625,51
110051.3515625,40
110641.1640625,26
111230.9765625,25
111820.7890625,27
112410.6015625,17
113000.4140625,20
113590.2265625,10
114180.0390625,7
114769.8515625,11
115359.6640625,11
115949.4765625,5
116539.2890625,12
117129.1015625,10
117718.90625,5
118308.71875,5
118898.53125,8
119488.34375,9
120078.15625,11
120667.96875,8
121257.78125,3
121847.59375,6
122437.40625,8
123027.21875,12
123617.03125,9
124206.84375,8
124796.65625,9
125386.46875,8
125976.28125,7
126566.09375,7
127155.90625,3
127745.71875,6
128335.53125,11
128925.34375,9
129515.15625,9
130104.96875,10
130694.78125,5
131284.59375,4
131874.40625,7
132464.21875,14
133054.03125,8
133643.84375,7
134233.65625,7
134823.46875,6
135413.28125,11
136003.09375,8
136592.90625,6
137182.71875,8
137772.53125,8
138362.328125,8
138952.140625,8
139541.953125,2
140131.765625,4
140721.578125,7
141311.390625,9
141901.203125,8
142491.015625,6
143080.828125,8
143670.640625,6
144260.453125,8
144850.265625,6
145440.078125,6
146029.890625,4
146619.703125,5
147209.515625,6
147799.328125,7
148389.140625,8
148978.953125,5
149568.765625,8
150158.578125,4
150748.390625,9
