bin,count
349.2705078125,1078
932.9876708984375,201
1516.704833984375,167
2100.421875,116
2684.13916015625,95
3267.856201171875,53
3851.573486328125,52
4435.29052734375,48
5019.0078125,31
5602.724609375,35
6186.44189453125,16
6770.1591796875,25
7353.8759765625,19
7937.59375,17
8521.310546875,19
9105.02734375,15
9688.744140625,12
10272.4619140625,10
10856.1796875,18
11439.896484375,10
12023.61328125,23
12607.330078125,25
13191.0478515625,14
13774.7646484375,8
14358.482421875,25
14942.19921875,17
15525.916015625,15
16109.6328125,15
16693.3515625,13
17277.06640625,21
17860.78515625,15
18444.501953125,19
19028.21875,17
19611.9375,25
20195.65234375,24
20779.37109375,26
21363.0859375,25
21946.8046875,22
22530.5234375,15
23114.23828125,30
23697.95703125,29
24281.671875,25
24865.390625,28
25449.107421875,24
26032.82421875,26
26616.54296875,19
27200.2578125,18
27783.9765625,22
28367.693359375,27
28951.41015625,18
29535.12890625,31
30118.84375,22
30702.5625,21
31286.27734375,22
31869.99609375,25
32453.71484375,25
33037.4296875,16
33621.1484375,18
34204.8671875,21
34788.58203125,31
35372.296875,25
35956.015625,16
36539.734375,30
37123.453125,20
37707.16796875,26
38290.8828125,33
38874.6015625,43
39458.3203125,64
40042.03515625,100
40625.75390625,145
41209.46875,256
41793.1875,379
42376.90625,520
42960.62109375,743
43544.33984375,960
44128.0546875,1247
44711.7734375,1419
45295.4921875,1537
45879.20703125,1638
46462.921875,1623
47046.640625,1716
47630.359375,1702
48214.078125,1748
48797.79296875,1613
49381.5078125,1651
49965.2265625,1609
50548.9453125,1665
51132.6640625,1612
51716.37890625,1637
52300.09375,1669
52883.8125,1735
53467.53125,1799
54051.25,1718
54634.96484375,1847
55218.6796875,1790
55802.3984375,1533
56386.1171875,1353
56969.83203125,1085
57553.55078125,746
58137.265625,564
58720.984375,355
59304.703125,241
59888.41796875,185
60472.13671875,158
61055.8515625,117
61639.5703125,100
62223.2890625,78
62807.00390625,83
63390.72265625,82
63974.4375,86
64558.15625,78
65141.875,71
65725.5859375,75
66309.3046875,84
66893.0234375,71
67476.7421875,72
68060.4609375,78
68644.171875,72
69227.890625,80
69811.609375,71
70395.328125,82
70979.046875,64
71562.765625,84
72146.4765625,84
72730.1953125,69
73313.9140625,86
73897.6328125,65
74481.34375,83
75065.0625,60
75648.78125,68
76232.5,61
76816.21875,86
77399.9375,84
77983.6484375,80
78567.3671875,83
79151.0859375,88
79734.8046875,78
80318.515625,88
80902.234375,92
81485.953125,81
82069.671875,88
82653.390625,98
83237.1015625,112
83820.8203125,110
84404.5390625,87
84988.2578125,99
85571.96875,109
86155.6875,113
86739.40625,119
87323.125,115
87906.84375,122
88490.5625,125
89074.2734375,108
89657.9921875,114
90241.7109375,116
90825.4296875,117
91409.140625,92
91992.859375,109
92576.578125,111
93160.296875,107
93744.015625,112
94327.734375,103
94911.4453125,110
95495.1640625,124
96078.8828125,107
96662.6015625,104
97246.3125,110
97830.03125,110
98413.75,89
98997.46875,110
99581.1875,113
100164.90625,92
100748.6171875,94
101332.3359375,87
101916.0546875,90
102499.765625,97
103083.484375,85
103667.203125,93
104250.921875,75
104834.640625,96
105418.359375,88
106002.0703125,71
106585.7890625,83
107169.5078125,79
107753.2265625,62
108336.9375,68
108920.65625,46
109504.375,51
110088.09375,47
110671.8125,42
111255.53125,22
111839.2421875,38
112422.9609375,30
113006.6796875,25
113590.3984375,31
114174.109375,24
114757.828125,18
115341.546875,12
115925.265625,8
116508.984375,13
117092.703125,4
117676.4140625,11
118260.1328125,13
118843.8515625,5
119427.5703125,7
120011.28125,6
120595.0,7
121178.71875,5
121762.4375,7
122346.15625,5
122929.8671875,8
123513.5859375,6
124097.3046875,6
124681.0234375,8
125264.734375,10
125848.453125,7
126432.171875,3
127015.890625,7
127599.609375,3
128183.328125,10
128767.0390625,8
129350.7578125,7
129934.4765625,3
130518.1953125,9
131101.90625,10
131685.625,4
132269.34375,8
132853.0625,12
133436.78125,10
134020.5,8
134604.21875,7
135187.9375,5
135771.640625,8
136355.359375,8
136939.078125,3
137522.796875,4
138106.515625,4
138690.234375,6
139273.953125,8
139857.671875,7
140441.390625,9
141025.09375,7
141608.8125,11
142192.53125,10
142776.25,11
143359.96875,5
143943.6875,6
144527.40625,5
145111.125,6
145694.84375,4
146278.5625,8
146862.28125,4
147445.984375,8
148029.703125,6
148613.421875,5
149197.140625,5
