bin,count
328.39227294921875,1448
882.6350708007812,221
1436.8779296875,157
1991.12060546875,118
2545.36328125,97
3099.606201171875,72
3653.848876953125,38
4208.091796875,38
4762.33447265625,22
5316.5771484375,30
5870.8203125,17
6425.0625,22
6979.3056640625,13
7533.54833984375,14
8087.791015625,20
8642.033203125,18
9196.27734375,11
9750.51953125,10
10304.76171875,19
10859.0048828125,15
11413.248046875,14
11967.490234375,21
12521.7333984375,14
13075.9765625,13
13630.21875,22
14184.4609375,11
14738.705078125,20
15292.947265625,15
15847.189453125,17
16401.43359375,34
16955.67578125,26
17509.91796875,21
18064.16015625,20
18618.404296875,17
19172.646484375,14
19726.890625,22
20281.1328125,27
20835.375,21
21389.6171875,26
21943.859375,28
22498.103515625,20
23052.345703125,24
23606.58984375,24
24160.83203125,21
24715.07421875,23
25269.31640625,18
25823.560546875,22
26377.802734375,31
26932.044921875,18
27486.2890625,17
28040.53125,30
28594.7734375,22
29149.015625,21
29703.259765625,23
30257.501953125,24
30811.74609375,34
31365.98828125,26
31920.23046875,19
32474.47265625,29
33028.71484375,26
33582.9609375,18
34137.203125,21
34691.4453125,21
35245.6875,15
35799.9296875,27
36354.171875,20
36908.4140625,11
37462.65625,30
38016.90234375,31
38571.14453125,43
39125.38671875,61
39679.62890625,95
40233.87109375,134
40788.1171875,201
41342.359375,333
41896.6015625,426
42450.84375,596
43005.0859375,737
43559.328125,848
44113.5703125,983
44667.8125,1019
45222.05859375,1107
45776.30078125,1008
46330.54296875,1077
46884.78515625,1140
47439.02734375,1029
47993.26953125,1075
48547.515625,1082
49101.7578125,1028
49656.0,1012
50210.2421875,1040
50764.484375,1025
51318.7265625,1048
51872.96875,1173
52427.21484375,1156
52981.45703125,1207
53535.69921875,1299
54089.94140625,1268
54644.18359375,1426
55198.42578125,1419
55752.671875,1271
56306.9140625,1166
56861.15625,987
57415.3984375,728
57969.640625,608
58523.8828125,442
59078.125,346
59632.37109375,300
60186.61328125,297
60740.85546875,253
61295.09765625,228
61849.33984375,251
62403.58203125,211
62957.828125,207
63512.0703125,210
64066.3125,228
64620.5546875,219
65174.796875,185
65729.0390625,209
66283.28125,231
66837.53125,238
67391.765625,197
67946.015625,201
68500.25,193
69054.5,198
69608.734375,188
70162.984375,195
70717.21875,205
71271.46875,203
71825.703125,199
72379.953125,182
72934.203125,217
73488.4375,193
74042.6875,176
74596.921875,190
75151.171875,181
75705.40625,181
76259.65625,215
76813.890625,194
77368.140625,193
77922.375,167
78476.625,194
79030.859375,205
79585.109375,197
80139.359375,197
80693.59375,208
81247.84375,220
81802.078125,230
82356.328125,224
82910.5625,210
83464.8125,222
84019.046875,208
84573.296875,224
85127.53125,241
85681.78125,227
86236.015625,207
86790.265625,210
87344.515625,225
87898.75,219
88453.0,189
89007.234375,202
89561.484375,220
90115.71875,199
90669.96875,154
91224.203125,194
91778.453125,186
92332.6875,179
92886.9375,210
93441.171875,164
93995.421875,159
94549.671875,156
95103.90625,185
95658.15625,159
96212.390625,145
96766.640625,167
97320.875,155
97875.125,157
98429.359375,158
98983.609375,146
99537.84375,123
100092.09375,142
100646.328125,132
101200.578125,142
101754.8203125,138
102309.0625,145
102863.3125,130
103417.546875,133
103971.796875,124
104526.03125,144
105080.28125,124
105634.515625,140
106188.765625,152
106743.0,144
107297.25,116
107851.484375,128
108405.734375,82
108959.9765625,85
109514.21875,77
110068.46875,82
110622.703125,69
111176.953125,52
111731.1875,40
112285.4375,42
112839.671875,26
113393.921875,18
113948.15625,23
114502.40625,12
115056.640625,7
115610.890625,9
116165.1328125,4
116719.375,5
117273.625,11
117827.859375,8
118382.109375,6
118936.34375,6
119490.59375,8
120044.828125,5
120599.078125,2
121153.3125,7
121707.5625,5
122261.796875,7
122816.046875,1
123370.2890625,4
123924.53125,2
124478.78125,5
125033.015625,9
125587.265625,5
126141.5,4
126695.75,2
127249.984375,3
127804.234375,7
128358.46875,6
128912.71875,10
129466.953125,3
130021.203125,1
130575.4375,6
131129.6875,3
131683.9375,6
132238.171875,3
132792.40625,1
133346.65625,6
133900.90625,5
134455.140625,3
135009.390625,9
135563.625,2
136117.875,3
136672.125,6
137226.359375,4
137780.59375,3
138334.84375,4
138889.09375,6
139443.328125,7
139997.5625,5
140551.8125,2
141106.0625,6
141660.296875,3
