bin,count
309.44110107421875,1593
867.1737060546875,246
1424.9063720703125,132
1982.6390380859375,106
2540.37158203125,81
3098.10400390625,65
3655.8369140625,42
4213.5693359375,37
4771.3017578125,38
5329.03466796875,25
5886.767578125,21
6444.5,19
7002.232421875,21
7559.96484375,11
8117.6982421875,15
8675.4306640625,12
9233.1630859375,17
9790.8955078125,22
10348.6279296875,14
10906.361328125,14
11464.09375,9
12021.826171875,14
12579.55859375,12
13137.291015625,18
13695.0234375,17
14252.7568359375,19
14810.4892578125,13
15368.2216796875,18
15925.9541015625,22
16483.6875,14
17041.41796875,15
17599.15234375,12
18156.88671875,16
18714.6171875,17
19272.3515625,28
19830.08203125,19
20387.81640625,15
20945.546875,19
21503.28125,20
22061.01171875,18
22618.74609375,12
23176.478515625,14
23734.2109375,26
24291.9453125,33
24849.67578125,20
25407.41015625,14
25965.140625,25
26522.875,24
27080.60546875,18
27638.33984375,24
28196.0703125,16
28753.8046875,28
29311.5390625,24
29869.26953125,29
30427.00390625,16
30984.734375,18
31542.46875,25
32100.19921875,19
32657.93359375,19
33215.6640625,23
33773.3984375,19
34331.1328125,25
34888.86328125,30
35446.59375,22
36004.328125,27
36562.0625,31
37119.79296875,53
37677.52734375,61
38235.2578125,83
38792.9921875,101
39350.7265625,147
39908.45703125,174
40466.1875,295
41023.921875,362
41581.65625,537
42139.38671875,661
42697.12109375,760
43254.8515625,867
43812.5859375,973
44370.3203125,1013
44928.05078125,1009
45485.78125,1068
46043.515625,1093
46601.25,1026
47158.98046875,1047
47716.7109375,1050
48274.4453125,1024
48832.1796875,1028
49389.9140625,999
49947.64453125,1008
50505.375,1007
51063.109375,1092
51620.84375,1062
52178.57421875,1151
52736.3046875,1138
53294.0390625,1206
53851.7734375,1304
54409.5078125,1307
54967.23828125,1155
55524.96875,1062
56082.703125,820
56640.4375,667
57198.16796875,488
57755.8984375,435
58313.6328125,336
58871.3671875,355
59429.09765625,301
59986.83203125,265
60544.5625,250
61102.296875,260
61660.03125,240
62217.76171875,265
62775.4921875,236
63333.2265625,239
63890.9609375,233
64448.69140625,250
65006.42578125,260
65564.15625,222
66121.890625,228
66679.625,252
67237.359375,241
67795.0859375,220
68352.8203125,221
68910.5546875,222
69468.28125,226
70026.015625,204
70583.75,204
71141.484375,231
71699.21875,235
72256.953125,210
72814.6796875,223
73372.4140625,258
73930.1484375,203
74487.875,259
75045.609375,204
75603.34375,224
76161.078125,211
76718.8125,208
77276.546875,208
77834.2734375,207
78392.0078125,236
78949.7421875,239
79507.46875,239
80065.203125,228
80622.9375,245
81180.671875,265
81738.40625,228
82296.140625,254
82853.8671875,236
83411.6015625,277
83969.3359375,263
84527.0625,235
85084.796875,258
85642.53125,258
86200.265625,266
86758.0,254
87315.7265625,256
87873.4609375,239
88431.1953125,230
88988.9296875,251
89546.65625,233
90104.390625,213
90662.125,240
91219.859375,210
91777.59375,217
92335.3203125,196
92893.0546875,224
93450.7890625,215
94008.5234375,183
94566.25,190
95123.984375,180
95681.71875,197
96239.453125,180
96797.1875,135
97354.9140625,183
97912.6484375,170
98470.3828125,178
99028.1171875,162
99585.84375,160
100143.578125,180
100701.3125,140
101259.046875,160
101816.78125,154
102374.5078125,159
102932.2421875,132
103489.9765625,121
104047.7109375,147
104605.4375,131
105163.171875,127
105720.90625,130
106278.640625,124
106836.375,105
107394.1015625,100
107951.8359375,111
108509.5703125,90
109067.296875,78
109625.03125,64
110182.765625,41
110740.5,26
111298.234375,25
111855.96875,19
112413.6953125,12
112971.4296875,12
113529.1640625,5
114086.890625,9
114644.625,5
115202.359375,9
115760.09375,5
116317.828125,4
116875.5625,4
117433.2890625,2
117991.0234375,8
118548.7578125,5
119106.484375,7
119664.21875,5
120221.953125,6
120779.6875,0
121337.421875,6
121895.15625,5
122452.8828125,6
123010.6171875,3
123568.3515625,10
124126.078125,7
124683.8125,7
125241.546875,10
125799.28125,2
126357.015625,5
126914.75,6
127472.4765625,2
128030.2109375,10
128587.9453125,5
129145.671875,4
129703.40625,3
130261.140625,2
130818.875,9
131376.59375,6
131934.34375,5
132492.0625,6
133049.8125,2
133607.53125,6
134165.28125,2
134723.0,1
135280.734375,8
135838.46875,6
136396.1875,5
136953.9375,3
137511.65625,6
138069.40625,2
138627.125,8
139184.875,4
139742.59375,4
140300.328125,2
140858.0625,3
141415.78125,6
141973.53125,2
142531.25,5
