bin,count
501.4714050292969,2205
1403.00244140625,484
2304.53369140625,315
3206.06494140625,200
4107.595703125,145
5009.126953125,104
5910.658203125,94
6812.189453125,60
7713.72021484375,72
8615.2509765625,40
9516.7822265625,39
10418.3134765625,37
11319.8447265625,43
12221.3759765625,47
13122.9072265625,59
14024.4384765625,63
14925.96875,65
15827.5,83
16729.03125,72
17630.5625,72
18532.09375,87
19433.625,115
20335.15625,117
21236.6875,102
22138.21875,136
23039.75,153
23941.28125,153
24842.8125,161
25744.341796875,167
26645.873046875,178
27547.404296875,190
28448.935546875,228
29350.466796875,221
30251.998046875,210
31153.529296875,226
32055.060546875,237
32956.58984375,223
33858.12109375,205
34759.65234375,219
35661.18359375,219
36562.71484375,210
37464.24609375,223
38365.77734375,190
39267.30859375,203
40168.83984375,204
41070.37109375,257
41971.90234375,359
42873.43359375,567
43774.96484375,822
44676.49609375,1230
45578.02734375,1609
46479.55859375,1877
47381.08984375,2190
48282.62109375,2255
49184.15234375,2415
50085.68359375,2405
50987.21484375,2309
51888.74609375,2199
52790.27734375,2194
53691.80859375,2147
54593.33984375,2342
55494.87109375,2442
56396.40234375,2644
57297.93359375,2448
58199.4609375,2299
59100.9921875,1768
60002.5234375,1299
60904.0546875,824
61805.5859375,510
62707.1171875,263
63608.6484375,193
64510.1796875,121
65411.7109375,114
66313.2421875,105
67214.7734375,92
68116.3046875,120
69017.8359375,110
69919.3671875,110
70820.8984375,77
71722.4296875,82
72623.9609375,89
73525.4921875,93
74427.0234375,98
75328.5546875,80
76230.0859375,95
77131.6171875,86
78033.1484375,88
78934.6796875,85
79836.2109375,85
80737.7421875,96
81639.2734375,104
82540.8046875,91
83442.3359375,92
84343.8671875,104
85245.3984375,98
86146.9296875,111
87048.4609375,120
87949.9921875,141
88851.5234375,133
89753.0546875,147
90654.5859375,140
91556.1171875,130
92457.6484375,144
93359.1796875,135
94260.7109375,133
95162.2421875,149
96063.7734375,139
96965.3046875,164
97866.828125,142
98768.359375,151
99669.890625,149
100571.421875,120
101472.953125,135
102374.484375,131
103276.015625,143
104177.546875,156
105079.078125,123
105980.609375,116
106882.140625,112
107783.671875,106
108685.203125,131
109586.734375,116
110488.265625,113
111389.796875,98
112291.328125,96
113192.859375,91
114094.390625,97
114995.921875,103
115897.453125,80
116798.984375,71
117700.515625,59
118602.046875,43
119503.578125,60
120405.109375,39
121306.640625,26
122208.171875,15
123109.703125,12
124011.234375,15
124912.765625,17
125814.296875,15
126715.828125,17
127617.359375,20
128518.890625,13
129420.421875,5
130321.953125,15
131223.484375,12
132125.015625,13
133026.546875,10
133928.078125,15
134829.609375,21
135731.140625,19
136632.671875,17
137534.203125,18
138435.734375,24
139337.265625,17
140238.796875,25
141140.328125,15
142041.859375,19
142943.390625,24
143844.921875,12
144746.453125,22
145647.984375,15
146549.515625,12
147451.046875,18
148352.578125,21
149254.109375,13
150155.640625,17
151057.171875,15
151958.703125,11
152860.234375,18
153761.765625,20
154663.296875,13
155564.828125,11
156466.359375,12
157367.890625,18
158269.421875,16
159170.953125,16
160072.484375,17
160974.015625,14
161875.546875,16
162777.078125,12
163678.609375,15
164580.140625,19
165481.671875,10
166383.203125,17
167284.734375,6
168186.265625,16
169087.796875,15
169989.328125,14
170890.859375,7
171792.390625,8
172693.921875,17
173595.453125,16
174496.984375,13
175398.515625,9
176300.046875,12
177201.578125,8
178103.09375,5
179004.625,13
179906.15625,6
180807.6875,3
181709.21875,8
182610.75,3
183512.28125,4
184413.8125,9
185315.34375,4
186216.875,6
187118.40625,2
188019.9375,8
188921.46875,3
189823.0,3
190724.53125,6
191626.0625,5
192527.59375,11
193429.125,7
194330.65625,7
195232.1875,6
196133.71875,4
197035.25,7
197936.78125,5
198838.3125,6
199739.84375,7
200641.375,5
201542.90625,5
202444.4375,3
203345.96875,5
204247.5,6
205149.03125,7
206050.5625,8
206952.09375,8
207853.625,3
208755.15625,5
209656.6875,3
210558.21875,4
211459.75,4
212361.28125,4
213262.8125,5
214164.34375,6
215065.875,2
215967.40625,5
216868.9375,6
217770.46875,4
218672.0,9
219573.53125,7
220475.0625,8
221376.59375,6
222278.125,6
223179.65625,6
224081.1875,8
224982.71875,5
225884.25,1
226785.78125,5
227687.3125,5
228588.84375,2
229490.375,7
230391.90625,7
