bin,count
316.3229064941406,1520
866.1976318359375,288
1416.0723876953125,129
1965.9471435546875,108
2515.82177734375,85
3065.6962890625,87
3615.5712890625,60
4165.44580078125,38
4715.3203125,34
5265.1953125,31
5815.0703125,25
6364.94482421875,21
6914.8193359375,19
7464.6943359375,17
8014.568359375,16
8564.443359375,14
9114.318359375,21
9664.193359375,19
10214.068359375,9
10763.9423828125,10
11313.8173828125,13
11863.69140625,17
12413.56640625,21
12963.44140625,18
13513.31640625,16
14063.19140625,27
14613.0654296875,23
15162.9404296875,18
15712.814453125,21
16262.689453125,26
16812.564453125,21
17362.439453125,27
17912.314453125,22
18462.1875,15
19012.0625,22
19561.9375,19
20111.8125,23
20661.6875,18
21211.5625,23
21761.4375,20
22311.3125,21
22861.185546875,16
23411.060546875,20
23960.935546875,22
24510.810546875,23
25060.685546875,20
25610.560546875,18
26160.43359375,18
26710.30859375,22
27260.18359375,27
27810.05859375,17
28359.93359375,26
28909.80859375,20
29459.68359375,21
30009.55859375,20
30559.431640625,17
31109.306640625,18
31659.181640625,31
32209.056640625,20
32758.9296875,15
33308.8046875,31
33858.6796875,18
34408.5546875,17
34958.4296875,27
35508.3046875,26
36058.1796875,22
36608.0546875,27
37157.9296875,27
37707.8046875,20
38257.6796875,18
38807.5546875,16
39357.4296875,26
39907.30078125,32
40457.17578125,56
41007.05078125,94
41556.92578125,133
42106.80078125,194
42656.67578125,320
43206.55078125,404
43756.42578125,502
44306.30078125,642
44856.17578125,682
45406.05078125,818
45955.92578125,890
46505.796875,963
47055.671875,1036
47605.546875,1021
48155.421875,1040
48705.296875,1037
49255.171875,1058
49805.046875,1011
50354.921875,1098
50904.796875,1009
51454.671875,1044
52004.546875,1131
52554.421875,1093
53104.296875,1170
53654.171875,1122
54204.046875,1164
54753.91796875,1216
55303.79296875,1329
55853.66796875,1251
56403.54296875,1248
56953.41796875,1233
57503.29296875,1019
58053.16796875,876
58603.04296875,773
59152.91796875,575
59702.79296875,449
60252.66796875,409
60802.54296875,339
61352.41796875,297
61902.2890625,257
62452.1640625,246
63002.0390625,244
63551.9140625,233
64101.7890625,206
64651.6640625,238
65201.5390625,220
65751.4140625,216
66301.2890625,233
66851.1640625,204
67401.0390625,207
67950.9140625,207
68500.7890625,211
69050.6640625,196
69600.5390625,215
70150.4140625,229
70700.2890625,230
71250.1640625,208
71800.0390625,206
72349.9140625,214
72899.78125,207
73449.65625,198
73999.53125,202
74549.40625,185
75099.28125,206
75649.15625,223
76199.03125,207
76748.90625,189
77298.78125,202
77848.65625,196
78398.53125,178
78948.40625,220
79498.28125,193
80048.15625,210
80598.03125,232
81147.90625,181
81697.78125,213
82247.65625,228
82797.53125,220
83347.40625,223
83897.28125,194
84447.15625,227
84997.03125,231
85546.90625,214
86096.78125,242
86646.65625,224
87196.53125,196
87746.40625,258
88296.28125,247
88846.1484375,205
89396.0234375,210
89945.8984375,207
90495.7734375,225
91045.6484375,236
91595.5234375,239
92145.3984375,206
92695.2734375,214
93245.1484375,206
93795.0234375,180
94344.8984375,190
94894.7734375,183
95444.6484375,176
95994.5234375,209
96544.3984375,207
97094.2734375,168
97644.1484375,175
98194.0234375,179
98743.8984375,172
99293.7734375,165
99843.6484375,145
100393.5234375,155
100943.3984375,149
101493.2734375,152
102043.1484375,146
102593.0234375,166
103142.890625,183
103692.765625,158
104242.640625,170
104792.515625,150
105342.390625,141
105892.265625,162
106442.140625,146
106992.015625,148
107541.890625,127
108091.765625,148
108641.640625,134
109191.515625,127
109741.390625,140
110291.265625,113
110841.140625,105
111391.015625,72
111940.890625,67
112490.765625,75
113040.640625,51
113590.515625,44
114140.390625,28
114690.265625,20
115240.140625,19
115790.015625,20
116339.890625,22
116889.765625,8
117439.640625,9
117989.515625,6
118539.3828125,8
119089.2578125,11
119639.1328125,5
120189.0078125,6
120738.8828125,8
121288.7578125,10
121838.6328125,5
122388.5078125,2
122938.3828125,9
123488.2578125,4
124038.1328125,8
124588.0078125,6
125137.8828125,7
125687.7578125,4
126237.6328125,5
126787.5078125,3
127337.3828125,10
127887.2578125,4
128437.1328125,3
128987.0078125,4
129536.8828125,6
130086.7578125,6
130636.6328125,7
131186.5,3
131736.375,4
132286.25,3
132836.125,4
133386.0,6
133935.875,4
134485.75,9
135035.625,4
135585.5,4
136135.375,7
136685.25,1
137235.125,1
137785.0,1
138334.875,7
138884.75,6
139434.625,2
139984.5,2
140534.375,3
